role_category,source_skill,target_skill,weight
AI / Machine Learning Engineer,machine learning,python,679
AI / Machine Learning Engineer,machine learning,tensorflow,462
AI / Machine Learning Engineer,python,tensorflow,442
AI / Machine Learning Engineer,machine learning,pytorch,407
AI / Machine Learning Engineer,pytorch,tensorflow,383
AI / Machine Learning Engineer,python,pytorch,379
AI / Machine Learning Engineer,deep learning,machine learning,374
AI / Machine Learning Engineer,aws,machine learning,324
AI / Machine Learning Engineer,aws,python,310
AI / Machine Learning Engineer,deep learning,python,281
AI / Machine Learning Engineer,agile,machine learning,277
AI / Machine Learning Engineer,ai,machine learning,275
AI / Machine Learning Engineer,agile,python,260
AI / Machine Learning Engineer,azure,machine learning,259
AI / Machine Learning Engineer,azure,python,258
AI / Machine Learning Engineer,aws,azure,239
AI / Machine Learning Engineer,aws,tensorflow,224
AI / Machine Learning Engineer,deep learning,tensorflow,223
AI / Machine Learning Engineer,ai,python,220
AI / Machine Learning Engineer,java,python,206
AI / Machine Learning Engineer,azure,tensorflow,197
AI / Machine Learning Engineer,java,machine learning,197
AI / Machine Learning Engineer,deep learning,pytorch,196
AI / Machine Learning Engineer,agile,aws,190
AI / Machine Learning Engineer,agile,tensorflow,189
AI / Machine Learning Engineer,agile,azure,184
AI / Machine Learning Engineer,python,spark,183
AI / Machine Learning Engineer,kubernetes,machine learning,177
AI / Machine Learning Engineer,machine learning,spark,177
AI / Machine Learning Engineer,kubernetes,python,174
AI / Machine Learning Engineer,aws,pytorch,169
AI / Machine Learning Engineer,docker,python,169
AI / Machine Learning Engineer,docker,machine learning,166
AI / Machine Learning Engineer,gcp,machine learning,166
AI / Machine Learning Engineer,gcp,python,166
AI / Machine Learning Engineer,aws,gcp,165
AI / Machine Learning Engineer,python,sql,159
AI / Machine Learning Engineer,docker,kubernetes,158
AI / Machine Learning Engineer,deep learning,nlp,157
AI / Machine Learning Engineer,machine learning,sql,151
AI / Machine Learning Engineer,machine learning,nlp,148
AI / Machine Learning Engineer,azure,gcp,141
AI / Machine Learning Engineer,azure,pytorch,140
AI / Machine Learning Engineer,java,tensorflow,138
AI / Machine Learning Engineer,spark,tensorflow,136
AI / Machine Learning Engineer,java,pytorch,135
AI / Machine Learning Engineer,ai,pytorch,134
AI / Machine Learning Engineer,ai,tensorflow,134
AI / Machine Learning Engineer,deep learning,etl,134
AI / Machine Learning Engineer,pytorch,spark,127
AI / Machine Learning Engineer,artificial intelligence,machine learning,124
AI / Machine Learning Engineer,etl,nlp,124
