Judul_Pekerjaan,Perusahaan,Lokasi,Jenis_Pekerjaan,Gaji,Kualifikasi_Keterampilan,URL_Target
Data Analyst for Production Staff (CODE : PROD DA),PT Panasonic Gobel Energy Indonesia (PECGI),"Kabupaten Bekasi, Jawa Barat",Full time,Dirahasiakan,"Collect, analyse and interpret data from various production systems to identify trends, patterns and opportunities for improvement | Develop and maintain reporting dashboards to provide real-time visibility into production performance | Collaborate with cross-functional teams to implement data-driven solutions that enhance efficiency and productivity | Assist in the design and development of database structures to support the organisation's data management needs | Provide data-driven recommendations to management to drive strategic decision making | Stay up-to-date with the latest data analysis tools and techniques to continuously improve processes | D3/S1 Majoring in Information Technology, Computer Science or Data Analytics | Proficient in data analysis tools and techniques, including SQL, Excel, and data visualization software | Strong problem-solving and critical thinking skills with the ability to interpret data and draw meaningful insights | Excellent communication and presentation skills to effectively convey data-driven insights to stakeholders | Familiarity with production processes and an understanding of manufacturing operations | Attention to detail and a keen interest in continuous improvement",https://id.jobstreet.com/id/job/91575225
IT STAFF,PT. PRASTIWAHYU TUNAS ENGINEERING,"Cikarang Utara, Jawa Barat",Kontrak/Temporer,Rp 4.500.000 – Rp 6.000.000 per month,"Pendidikan minimal SMK/D3 jurusan Teknik Komputer Jaringan, Teknik Informatika, Sistem Informasi, atau bidang terkait. | Kuat dan tanggap dalam melakukantroubleshootinghardware (PC, Laptop, Printer, dsb) maupun software (Sistem Operasi, Aplikasi Perkantoran, dsb). | Memiliki kemampuan komunikasi dasar yang baik dan ramah untuk berinteraksi serta memberikan panduan teknis kepadauserdari berbagai departemen. | Pemahaman dasar mengenai pengelolaan Jaringan (Mikrotik) dan Server (Linux/Windows). | Bersedia belajar dan membantu urusan dokumen ISO perusahaan. | Nilai tambah jika memiliki pengetahuan dasar tentang sistem ERP atauscripting(Python/JS) untuk efisiensi kerja. | Memiliki rasa ingin tahu tinggi, menyukai teknologi, dan siap belajar hal baru. | Fokus Utama:MemberikansupportIT harian secara responsif untuk pengguna internal perusahaan, termasuk penanganantroubleshootinghardware dan software. | Melakukan perawatan dan pengecekan rutin untuk perangkat IT, server, serta infrastruktur jaringan. | Membantu Management Representative (MR)dalam mengurus, menyusun, dan mengelola dokumentasi terkait implementasiISO 9001, 14001, dan 45001. | Menyusun dokumentasi teknis yang rapi dan laporan aktivitas IT secara berkala. | Merencanakan serta menyusun Program IT tahunan (upgrade sistem, keamanan, dan inovasi layanan). | Turut serta membantu integrasi sistem operasi/ERP sesuai dengan kebutuhan operasional perusahaan. | Jenjang karir yang jelas sesuai performa. | Training eksternal IT untuk peningkatanskill(networking, security, cloud, AI, dll). | Lingkungan kerja yang mendukung inovasi dan eksplorasi teknologi terbaru. | Kesempatan untuk berkembang bersama tim profesional. | Dukungan penuh untuk pengembanganskilldan sertifikasi IT. | Budaya kerja yang kolaboratif dan terbuka terhadap ide-ide baru.",https://id.jobstreet.com/id/job/91450924
Supervisor IT Manufacturing System,Daikin Industries Indonesia,"Cikarang Utara, Jawa Barat",Full time,Dirahasiakan,"Bachelor's degree in Industrial Engineering, Information Systems, Electrical Engineering, Computer Science, or related fields | Minimum 5 years of experience in MES, Smart Manufacturing, or Digital Transformation roles | Experience supervising or leading small to medium-sized teams | Experience in manufacturing operations (automotive, electronics, or related industries is an advantage) | Strong knowledge of manufacturing workflows (production tracking, work order execution, traceability, quality inspection, downtime & OEE) | Familiar with PLC, SCADA, IoT sensors, and industrial communication protocols (OPC-UA, Modbus, Ethernet/IP) | Understanding of databases (SQL Server, Oracle, MySQL) and data integration | Basic knowledge of APIs, web services, Python, .NET, or other scripting languages | Knowledge of Industry 4.0 concepts (IoT-enabled machines, predictive maintenance, AI analytics, smart factory solutions) | Strong problem-solving, analytical thinking, and project management skills | Excellent communication skills with ability to train and guide operators, technicians, and engineers | Lead system enhancements, upgrades, and troubleshooting activities | Oversee end-to-end MES operations, ensuring system stability, availability, and performance | Develop and maintain MES configurations, master data, and workflows | Coordinate with IT, automation teams, vendors, and technical support | Lead initiatives for Industry 4.0 implementation | Identify improvement opportunities through data analytics and shop floor observations | Pilot and implement new technologies (AI, IoT sensors, predictive analytics) | Support production teams in resolving MES-related issues | Ensure accurate data capture for OEE, productivity, quality, and traceability | Supervise MES/data system technicians and engineers | Provide regular system performance and improvement progress reports to management",https://id.jobstreet.com/id/job/91559990
Network Operation Technician,Rahi Systems Pte. Ltd.,"Cibitung, Jawa Barat",Full time,"Rp 7,000,000 – Rp 10,000,000 per month","Supervise telecom dark fiber deployment, troubleshooting, and commissioning activities | Monitor high-risk works across external/internal fiber routes and data halls | Track project progress across multiple sites and ensure vendors meet timelines | Identify, escalate, and follow up on risks, issues, and solutions | Ensure compliance with SOPs, technical standards, and safety requirements | Coordinate site access and administrative support for vendors | Participate in site surveys and project planning | Provide regular progress reporting and continuous improvement inputs | Provide onsite support during maintenance, upgrades, and change activities | Monitor and manage network operations, alerts, and incidents | Perform troubleshooting (network, hardware, fiber issues) and root cause analysis | Conduct preventive maintenance and inspections | Supervise vendors working in live data hall / supercore environments | Support network projects (migration, expansion, decommissioning) | Assist in switch upgrades, remote setup, and optical cable fault resolution | Ensure adherence to SOPs/MOPs and operational compliance | Effective communication and collaboration with stakeholders across functions and levels. | Proven troubleshooting, problem-solving, and decision-making skills under pressure. | Strong knowledge of data center interconnectionvitiy solutions/metro connect. | Ability to work independently and take ownership of outcomes. | Flexibility to support after office hours during incident. | Willingness to travel extensively across multiple sites (40-50km apart). | Willingness to work in challenging conditions with PPE requirement (undeveloped land, outdoor elements). | Ability to read and interpret technical drawings, floor plans, and wiring diagrams. | Strong knowledge of structured cabling standards and best practices.",https://id.jobstreet.com/id/job/91510977
IT Support (Odoo),PT Rayindo Toropma Abadi (Rcraft.indo),"Kabupaten Bogor, Jawa Barat",Full time,Rp 5.000.000 – Rp 5.500.000 per month,"Melakukan instalasi, konfigurasi, dan maintenance sistem Odoo | Memberikan support teknis kepada user terkait penggunaan Odoo | Menangani troubleshooting error pada sistem (backend & frontend sederhana) | Monitoring performa sistem dan database Odoo | Berkoordinasi dengan tim developer untuk pengembangan dan perbaikan sistem | Melakukan training dasar kepada user jika diperlukan | Membuat dokumentasi teknis dan panduan penggunaan | Pendidikan minimal D3/S1 Teknik Informatika / Sistem Informasi | Memahami dasar Odoo ERP | Menguasai dasar SQL (PostgreSQL lebih disukai) | Familiar dengan Linux server menjadi nilai tambah | Memahami konsep ERP & alur bisnis perusahaan | Mampu melakukan troubleshooting dan problem solving | Komunikatif dan mampu bekerja dalam tim | Pernah implementasi atau support Odoo | Mengerti Python dasar (untuk Odoo) | Pengalaman handle user / helpdesk",https://id.jobstreet.com/id/job/91476371
Programmer R&D,PT Marktel,"Bandung, Jawa Barat",Full time,Rp 5.500.000 – Rp 8.000.000 per month,"Mengembangkan, mengimplementasikan, menguji, dan memelihara program untuk proyek, prototipe, dan Proof-of-Concept (PoC) solusi SI/TI yang inovatif. | Menganalisis Kebutuhan Teknis dan Membantu tim dalam menerjemahkan ide dan konsep menjadi spesifikasi teknis yang dapat diimplementasikan. | Melakukan riset tentang teknologi,framework, dan bahasa pemrograman baru yang relevan untuk proyek-proyek R&D. | Bekerja sama dengan anggota tim R&D dan tim lainnya untuk memastikan integrasi dan kinerja solusi yang dikembangkan. | Mengidentifikasi dan memperbaikibug, serta mengoptimalkan kode untuk performa dan skalabilitas. | Membuat dokumentasi teknis yang jelas untuk program yang dikembangkan. | Pendidikan minimal D3 atau S1 di bidang Ilmu Komputer, Sistem Informasi, Teknik Informatika, Teknik Elektro, atau bidang terkait. | Pengalaman kerja minimal 1 tahun sebagai Programmer, Software Developer, atau peran serupa. Untuk lulusan D3, portofolio proyek yang menunjukkan kemampuan pengkodean akan menjadi nilai tambah. | Menguasai setidaknya satu atau lebih bahasa pemrograman dominan seperti Python, Java, C#, C/C++, JavaScript (denganframeworkseperti Node.js, React, Angular, atau Vue.js), atau Go. Kemampuan untuk cepat beradaptasi dengan bahasa baru adalah nilai tambah. | Mampu menerapkan konsep dasar struktur data dan algoritma dalam solusi pengkodean. | Familiar dengan salah satu atau lebih jenis database (misalnya, SQL seperti MySQL, PostgreSQL; atau NoSQL seperti MongoDB, Redis). | Di utamakan mampu menggunakan sistem kontrol versi seperti Git untuk kolaborasi kode. | Mampu menganalisis masalah teknis, mengidentifikasi akar penyebab, dan mengembangkan solusi pengkodean yang efektif. | Memiliki dorongan internal untuk terus belajar teknologi baru dan menghadapi tantangan yang kompleks. | Mampu bekerja secara kolaboratif dalam tim dan berkontribusi pada tujuan bersama. | Mampu berkomunikasi secara efektif baik lisan maupun tulisan, serta mampu mempresentasikan program atau solusi yang telah dibuat kepada tim atau pemangku kepentingan. | Bersedia extra work hour jika diperlukan demi menyelesaikan pekerjaan atau mencapai target proyek.",https://id.jobstreet.com/id/job/91530256
Web Development Programmer,PT Anugerah Cahaya Chandra,"Bogor, Jawa Barat",Full time,Rp 7.000.000 – Rp 10.000.000 per month,"Pendidikan minimalS1 Teknik Informatika / Sistem Informasi / Ilmu Komputeratau bidang terkait | Memiliki pengalaman di bidang IT Support dan/atau Web Development Minimal3 Tahun | Menguasai dasar pemrograman web (HTML, CSS, JavaScript) | Menguasai salah satu bahasa backend (PHP, Python, atau Node.js) | Memahami konsep database (MySQL/PostgreSQL) | Memiliki pengetahuan dasar jaringan (LAN/WAN) | Memahami instalasi dan konfigurasi hardware & software | Familiar dengan sistem operasi Windows/Linux | Memiliki kemampuan troubleshooting yang baik | Memiliki kemampuan problem solving dan debugging yang baik | Memiliki komunikasi yang baik dan mampu bekerja dalam tim | Mengembangkan dan memelihara website perusahaan | Membangun tampilan website yang responsif dan user-friendly | Mengelola database dan memastikan keamanan data | Melakukan update fitur dan konten website | Mengelola database dan menjaga keamanan data | Melakukan testing, debugging, dan optimasi website | Mengintegrasikan API atau fitur tambahan sesuai kebutuhan | Memastikan proyek berjalan sesuai timeline dan standar kualitas | Melakukan instalasi, konfigurasi, dan maintenance hardware & software | Menangani troubleshooting komputer, jaringan, dan sistem | Memberikan dukungan teknis kepada user (helpdesk) | Melakukan monitoring dan maintenance sistem IT secara berkala | Memastikan sistem IT berjalan dengan baik dan minim gangguan | Mengelola akun user dan akses sistem | Memiliki portofolio website (GitHub / project pribadi) | Familiar dengan framework (Laravel, React, dll.) | Memahami version control (Git) | Memiliki pemahaman dasar keamanan IT | Mampu bekerja multitasking dan cepat dalam menangani issue",https://id.jobstreet.com/id/job/91347997
IT Support,PT Cipta Makmur Adipratama,"Citeureup, Jawa Barat",Full time,Dirahasiakan,"Memiliki kemampuan berpikir logis | Memiliki ketelitian yang tinggi | Memiliki kemampuan analisa yang tinggi | Instalasi, konfigurasi dan pemeliharaan perangkat IT | Melakukan data entry dan troubleshooting di system ERP | Monitor dan maintain server dan CCTV | Memastikan keamanan dan kelancaran system operasional | Koordinasi dengan atasan langsung untuk pekerjaan terkait lainnya | Berusia minimal 25 tahun | Pendidikan minimal D3/S1 di bidang Teknik Informatika / Komputer / setara lainnya. | Memiliki pengalaman kerja minimal 2 tahun di bidang IT | Memahami instalasi LAN, WAN, firewall, router, cabling/crimping dan CCTV | Memiliki kemampuan dasar desain grafis, database dan SQL Querry menjadi nilai plus | Hari Kerja Senin - Jumat | Tunjangan termasuk Uang Makan, BPJS, dan lainnya | Annual Team Celebration: Berdasarkan Kinerja Perusahaan",https://id.jobstreet.com/id/job/91190536
Data Center Staff,PT PROSPECT MOTOR,"Cikarang Selatan, Jawa Barat",Full time,Dirahasiakan,Bachelor’s degree in Information Systems or related field (Min. GPA 3.00) | Fresh graduates are welcome and willing to learn | Strong skills in Microsoft Office & Power BI | Intermediate English proficiency | Familiarity with Microsoft Dynamics 365 & SQL is a plus | Strong interest in the automotive industry | Possession of a valid driving license (SIM) | Placement: Cikarang,https://id.jobstreet.com/id/job/91507957
"Data Center Operations Technician (Jakarta, 24/7 shift)",Rahi Systems Pte. Ltd.,"Karawang, Jawa Barat",Full time,"Rp 7,000,000 – Rp 10,000,000 per month",,https://id.jobstreet.com/id/job/91051115
